"Feat0.1","Feat0.2","Feat0.3","Feat1.1","Feat1.2","Feat1.3","Feat2.1","Feat3.1","Feat3.2","Feat3.3","Feat4.1","Feat4.2","Feat4.3","Feat4.4","Feat5.1","target"
0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,"0"
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,"1"
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,"0"
0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,"0"
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,"0"
0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,"0"
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,"1"
0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,"0"
0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,"1"
0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,"1"
0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,"0"
0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,"1"
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,"0"
0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,"0"
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"0"
0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,"1"
0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,"0"
0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,"1"
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,"0"
0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,"0"
0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,"1"
0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,"0"
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,"0"
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,"0"
0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,"0"
0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,"0"
0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,"1"
0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,"0"
0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,"1"
0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,"0"
0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,"0"
0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,"1"
0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,"1"
0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,"1"
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,"1"
0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,"1"
0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,"1"
0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,"0"
0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,"1"
0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,"0"
0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,"0"
0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,"0"
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,"0"
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"0"
0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,"0"
0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,"0"
0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,"1"
0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,"1"
0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,"0"
0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,"1"
0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,"0"
0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,"0"
0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,"1"
0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,"1"
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,"0"
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"1"
0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,"0"
0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,"1"
0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,"0"
0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,"1"
0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,"1"
0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,"1"
0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,"1"
0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,"0"
0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,"0"
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,"0"
0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,"1"
0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,"0"
0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,"1"
0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,"1"
0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,"1"
0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,"0"
0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,"1"
0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,"1"
0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,"0"
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,"0"
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,"0"
0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,"1"
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,"0"
0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,"1"
0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,"0"
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,"0"
0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,"0"
0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,"1"
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,"0"
0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,"0"
0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,"0"
0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,"0"
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,"0"
0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,"1"
0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,"0"
0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,"0"
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,"1"
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,"0"
0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,"0"
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,"0"
0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,"1"
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,"0"
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,"0"
