"V2.1","V3.1","V4.1","V5.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","target"
"1","0","0","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"1","1","1","0","0","1","1","1","1","1","1","0","0","0","1","0","1"
"1","1","0","1","1","0","0","0","0","1","0","1","1","0","0","0","0"
"1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1"
"1","0","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"1","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0","1"
"1","0","1","0","0","0","1","1","1","0","1","0","0","0","1","0","1"
"1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","0","1"
"1","1","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0"
"0","1","0","1","1","0","0","0","1","1","1","0","0","1","1","0","0"
"1","1","1","0","0","0","0","1","1","0","1","1","1","0","0","0","1"
"0","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0"
"0","1","0","1","1","1","1","0","0","0","1","1","1","1","0","0","0"
"0","1","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0"
"1","0","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1"
"1","0","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1"
"0","0","0","1","1","0","0","0","0","1","1","1","1","1","0","0","0"
"1","0","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"0","1","0","1","1","1","0","0","0","0","1","1","1","1","1","0","0"
"0","1","0","1","1","1","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","1","1","1","1","1","1","0","1","0","1","1","1"
"1","1","0","1","1","1","0","0","0","1","0","1","1","1","0","0","0"
"0","1","0","1","1","1","0","0","0","1","1","1","1","1","1","0","0"
"0","1","0","1","1","1","0","0","0","0","1","1","1","1","1","0","0"
"0","1","0","1","1","1","0","0","0","0","1","1","1","1","1","0","0"
"1","1","1","0","0","0","1","1","1","0","1","0","1","0","1","0","1"
"0","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","1"
"0","1","0","1","1","1","0","0","0","1","1","1","1","1","1","0","0"
"0","0","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0"
"0","1","1","0","0","1","0","1","1","0","1","1","1","0","0","0","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","1","1"
"1","1","0","0","0","0","0","0","1","0","1","1","1","0","1","0","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1"
"1","1","0","1","1","1","0","0","0","0","1","1","1","0","1","0","0"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"1","1","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0"
"0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","0","0"
"0","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0"
"0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0"
"1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","1"
"1","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0"
"1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0"
"1","1","1","0","0","1","0","0","0","0","1","0","0","0","1","0","1"
"1","1","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1"
"1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1"
"1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1"
"0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0"
"1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1"
"1","1","0","1","1","0","0","0","0","0","1","1","0","1","1","0","0"
"0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0"
"1","0","0","0","0","0","1","1","1","0","1","0","0","0","1","0","1"
"1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1"
"1","1","1","1","1","0","1","0","0","1","0","0","0","0","0","1","0"
"0","1","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0"
"1","0","0","1","1","0","1","0","0","0","1","1","0","0","1","0","0"
"0","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","0"
"1","0","1","0","0","0","1","1","1","1","0","0","0","0","1","1","1"
"0","0","1","0","1","1","0","0","0","1","0","1","1","0","1","0","0"
"1","0","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","0","0"
"1","0","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1"
"1","1","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0"
"0","1","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0"
"0","1","0","1","1","1","0","0","0","0","1","1","1","0","0","0","0"
"0","1","1","0","0","0","1","1","1","1","0","0","0","0","1","1","1"
"1","1","1","0","0","0","1","1","1","0","0","0","1","0","1","0","1"
"1","1","1","0","0","1","0","1","0","0","1","1","1","0","1","0","1"
"1","1","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0"
"1","1","1","0","0","0","0","1","1","0","1","0","1","0","0","0","1"
"1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","0","1"
"0","1","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1"
"1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1"
"1","0","1","1","1","0","0","1","0","1","0","1","1","1","0","0","0"
"1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1"
"0","1","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1"
"0","1","0","1","1","0","0","0","0","0","1","1","0","1","1","0","0"
"0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0"
"0","0","1","0","0","0","1","1","1","0","0","1","0","1","1","1","1"
"0","0","1","0","0","0","1","1","1","1","0","1","0","0","1","0","1"
"1","0","1","1","0","0","1","1","1","0","0","1","0","0","1","1","0"
"1","0","0","1","1","0","0","0","1","0","1","1","1","1","0","0","0"
"1","0","1","0","0","0","1","1","1","1","1","1","0","0","1","0","1"
"1","0","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"1","0","1","0","0","0","1","1","1","1","0","0","1","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"0","0","0","1","0","0","1","0","0","0","0","1","1","1","1","0","0"
"0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0","0"
"0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","1","0"
"0","0","1","1","1","1","1","0","0","1","0","1","1","1","0","1","0"
"0","0","1","0","0","0","1","1","1","1","0","0","0","0","1","0","1"
"0","0","0","1","0","0","1","0","1","1","0","1","0","1","0","0","0"
"1","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0"
"1","0","1","0","0","0","1","1","1","0","0","0","0","0","1","1","1"
"0","0","1","0","0","0","1","1","1","0","1","0","0","0","1","0","1"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1"
"0","1","0","1","0","0","1","1","0","0","1","1","0","0","1","0","0"
"1","1","1","0","0","0","1","1","1","1","0","0","0","0","1","1","0"
"1","1","1","0","0","0","1","1","1","1","1","0","0","0","1","1","1"
"1","1","1","0","0","0","1","1","1","1","0","0","0","0","1","0","1"
"0","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0"
"1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","0","1"
"0","0","0","1","1","1","0","0","0","1","1","1","1","1","1","0","0"
"0","0","1","0","0","0","1","1","1","0","1","1","0","0","1","0","1"
"0","0","0","1","1","1","0","0","0","0","0","1","0","1","1","0","0"
"0","0","0","1","1","1","0","0","1","0","1","1","1","1","1","0","0"
"0","0","0","1","1","1","0","0","0","1","1","1","1","1","1","0","0"
"0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","1"
"1","0","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0"
"1","1","0","1","1","0","0","0","0","1","0","1","1","1","0","0","0"
"1","0","0","1","1","0","0","0","0","1","0","1","1","0","0","0","0"
"0","1","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0"
"1","1","1","0","0","0","0","0","1","0","1","0","0","0","1","0","1"
"1","1","0","0","0","0","1","1","0","0","1","0","0","0","1","0","1"
"1","1","0","1","1","1","0","0","0","0","1","1","1","1","1","0","0"
